UniqueCarrier,Origin,Dest,Month,DayofMonth,DayOfWeek,DepTime,FlightNum,ActualElapsedTime,DepDelay,Distance,Cancelled,Diverted,OnTime
9,161,104,0.13512535034145906,0.37459707478715093,0.5395291900600494,1.868802976880559,-0.15726012302903547,0.3907815693630417,1.4487540924724622,0.5338356039294138,0.0,0.0,0
0,133,141,0.7212558189122793,1.2865620145557852,0.5395291900600494,1.4766796328610832,1.3141221018384412,-0.7361008441390564,-0.32948772519304925,-0.8698198321458726,0.0,0.0,0
8,205,211,-1.6232660553710017,0.6025883097293094,-1.4710494825317006,-0.9350897518608539,-0.6168306637010108,0.9001941672475517,-0.0825096949617282,0.9767924423630082,0.0,0.0,0
3,52,7,-1.0371355868001815,-0.30937663003932475,-0.4657601462358256,-1.5696549483654894,-0.5241600608494602,-0.0723207923501493,-0.32948772519304925,-0.4115224971431493,0.0,0.0,0
10,41,217,0.4281905846268692,1.5145532494979437,0.03688452191211188,-0.8254638707371295,2.0573781614437348,-0.4119291909398227,0.06567712317706442,-0.49973035241564,0.0,0.0,0
3,60,133,1.3073862874830995,-0.8793547173947212,0.5395291900600494,-1.1332596138922018,-0.9137548401845504,0.8075736949049136,0.016281517130800213,0.595197590205929,0.0,0.0,0
0,141,152,1.0143210531976894,1.5145532494979437,-0.9684048143837631,0.015703947885294372,0.9831556630829034,0.529712277876999,-0.4776745433318419,0.052527524072997274,0.0,0.0,0
3,7,68,0.13512535034145906,1.7425444844401021,-0.4657601462358256,1.5841973239631975,-0.526051297642349,0.4370918055343608,0.5596331836397065,0.1886744311240155,0.0,0.0,0
11,135,132,-1.6232660553710017,-1.3353371872790383,0.5395291900600494,-1.0784466733303397,-0.6716765306947857,-0.55085989945378,0.06567712317706442,-0.46329667306395905,0.0,0.0,0
5,135,23,0.4281905846268692,1.628548866969023,0.5395291900600494,-1.3672687062909212,-0.3331451447676927,0.3599080785821623,-0.28009211914678506,0.4111116313763833,0.0,0.0,1
10,52,133,-1.0371355868001815,1.628548866969023,1.042173858207987,-1.08687943341678,0.5046727544820402,0.4525285509248005,0.11507272922332863,0.3094808416059049,0.0,0.0,0
0,127,21,1.3073862874830995,-0.30937663003932475,-0.4657601462358256,0.8421144363564477,-0.9326672081134384,-0.7361008441390564,-0.13190530100799241,-0.6128665146129649,0.0,0.0,0
0,161,28,-0.7440703525147713,-1.1073459523368796,1.042173858207987,-0.04754175276300817,-0.49200903537035084,-0.3810557001589433,-0.23069651310052083,-0.33290245222636416,0.0,0.0,0
11,97,222,-0.7440703525147713,-0.30937663003932475,1.042173858207987,-0.7052970395053546,-0.8967337090485514,-0.5199864086729006,0.16446833526959284,-0.3712536936491862,0.0,0.0,0
3,136,127,-1.6232660553710017,0.4885926922582302,1.5448185263559244,0.11057249885774818,-0.03432973149126429,-1.0448357519478504,-0.32948772519304925,-0.9925438046989031,0.0,0.0,0
3,7,114,-0.15793988394395106,0.37459707478715093,-0.4657601462358256,0.4183682420128206,-0.7775857910965578,-0.5354231540633403,1.2017760622411413,-0.7221675526680078,0.0,0.0,0
0,203,184,-1.6232660553710017,0.14660583984499237,0.03688452191211188,-0.41436681652316293,0.20396610441272295,-0.7978478257008151,-0.28009211914678506,-0.8794076425015781,0.0,0.0,1
10,30,41,0.7212558189122793,-0.6513634824525626,-0.9684048143837631,-0.665241429094763,1.450291150926434,-0.4428026817207021,-0.13190530100799241,-0.5476694041941675,0.0,0.0,0
9,54,103,1.0143210531976894,-0.42337224751040403,1.042173858207987,-0.6209694386409512,-0.8210842373329998,1.255239311227665,-0.033114088915463996,1.5443908154207744,0.0,0.0,0
0,143,182,-0.7440703525147713,1.4005576320268645,1.5448185263559244,-1.289265675491348,-0.08350188810637275,-0.1803780100832272,-0.4282789372855777,-0.19100285896192262,0.0,0.0,1
5,135,60,0.13512535034145906,-0.30937663003932475,1.042173858207987,-0.10235469332487038,-0.8853862882912187,-0.8287213164816946,-0.28009211914678506,-0.8007875975847929,0.0,0.0,1
10,101,41,-0.15793988394395106,0.26060145731607165,-0.9684048143837631,-1.460029067241765,1.5240493858490967,-0.9213417888243328,-0.4776745433318419,-0.7892822251579463,0.0,0.0,1
3,56,206,0.4281905846268692,0.03261022237391308,0.5395291900600494,1.0571498185606762,-0.108087966413927,1.5331007282555795,-0.28009211914678506,1.5041220119268113,0.0,0.0,1
9,68,161,0.4281905846268692,0.6025883097293094,-0.4657601462358256,-0.6589168590299328,-1.1104434666449843,0.1129201523351271,0.016281517130800213,0.13881781727434686,0.0,0.0,1
4,119,198,1.3073862874830995,-1.1073459523368796,-0.4657601462358256,0.9875795478475434,0.12642539590428264,0.6223327502196372,0.26325954736212126,0.4206994417320888,0.0,0.0,1
6,53,68,-0.4510051182293612,-0.8793547173947212,-0.4657601462358256,-0.19089867423249393,2.098985370887288,-0.5971701356250991,-0.37888333123931345,-0.858314459719026,0.0,0.0,1
0,212,213,0.13512535034145906,-1.221341569807959,0.5395291900600494,0.3403652112132474,1.3046659178739972,-1.3072604235853253,-0.32948772519304925,-1.1536190186747557,0.0,0.0,1
10,108,68,1.6004515217685096,0.14660583984499237,-0.9684048143837631,-0.8802768112989917,1.6469797773868677,-0.1495045193023478,-0.23069651310052083,-0.004999338061235772,0.0,0.0,1
10,30,41,0.4281905846268692,-0.5373678649814833,1.5448185263559244,-1.2513182551023665,2.509383754944155,-0.396492445549383,-0.28009211914678506,-0.5476694041941675,0.0,0.0,0
