UniqueCarrier,TailNum,Origin,Dest,Month,DayofMonth,DayOfWeek,DepTime,FlightNum,ActualElapsedTime,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,OnTime
9,693,121,57,1.3923007900633966,-1.5533771126056548,0.5256267287875909,0.1539701505351048,-0.1397783004237905,-0.0570535014744677,-0.18117365488192763,0.22063844699047477,-0.08074123129332564,-0.04185317743846279,0.0,0.0,1
8,2139,211,144,1.096596282232791,1.5050756436386183,-1.4764338928028469,1.65198507824739,-0.5521923269613717,-0.8915186431641895,-0.14575546622914334,-0.7274924733924537,-0.9269596972890701,-0.24092783538443988,0.0,0.0,1
4,515,179,10,-1.5647442882426599,0.7121434475752882,-1.4764338928028469,0.8190639151210571,-0.384974034688781,0.5935464395039595,-0.3228464094930648,0.29196572723946573,1.6116957006981634,-0.3404651643574284,0.0,0.0,1
0,2820,72,204,-1.2690397804120543,-0.7604449165423247,0.5256267287875909,-0.8384906383641824,0.37227356865963485,1.2300029035045947,-0.14575546622914334,1.518447009569676,-0.29229584779226175,0.1572214805075143,0.0,0.0,1
10,4138,187,173,-1.2690397804120543,-1.5533771126056548,0.5256267287875909,0.3839558448311818,-0.7107464590125846,-1.0046664589865246,-0.3228464094930648,-0.8892836212743113,-0.08074123129332564,-0.8381518092223711,0.0,0.0,1
4,4178,11,56,-1.2690397804120543,-1.5533771126056548,0.5256267287875909,-0.4054545112661635,0.7127750653597806,-0.6086491036083516,-0.3582645981458491,-0.32736382809323616,-0.08074123129332564,-0.3404651643574284,0.0,0.0,1
10,3755,106,45,-1.5647442882426599,0.9386955035933825,-0.47540358200762806,0.3425169809940508,-0.5253334302751006,-0.9339490740975651,-0.3936827867986334,-0.9571315219989612,-0.503850464291198,-0.3404651643574284,0.0,0.0,0
5,4180,137,118,0.20948275874097397,-0.4206168325151833,0.025111573389981386,1.426143270335026,-0.6518301695072158,2.3614810617279463,-0.3936827867986334,2.2682532970651663,0.3423680017045466,0.1572214805075143,0.0,0.0,0
4,20,144,10,1.3923007900633966,-0.08078874848804185,0.025111573389981386,1.4054238384164606,-0.8259797899569088,-0.3257795640525137,-0.3936827867986334,-0.24385871950905166,0.3423680017045466,-0.24092783538443988,0.0,0.0,1
0,1379,59,20,-0.08622174908963169,1.278523587620524,-0.47540358200762806,0.1539701505351048,-0.3823747866223677,0.7349812092818784,-0.3582645981458491,-0.24037933998471064,-0.503850464291198,5.731311902994873,0.0,0.0,0
