Origin,DepDelay
GST,15.271604938271604
JNU,11.648844707146695
MRY,11.459412780656304
SIT,10.900361010830325
MFR,10.762015503875968
HDN,9.671619613670133
JFK,9.311531841652323
GUC,8.715596330275229
SFO,8.590871301654577
KTN,8.530946065428823
WRG,8.468148148148147
LNK,8.032737090786366
