UniqueCarrier,DepDelay
UA,11.03689434786824
AS,10.971318930833478
MQ,10.448874098089139
HP,9.858909626719058
AA,9.026835875605144
WN,8.76108650459363
DL,7.500545855609975
TW,6.013394762610158
US,5.881444755763281
NW,5.7991100783433644
CO,5.541168762029567
AQ,4.199717065896882
