Dest,DepDelay
MQT,24.419354838709676
BGR,21.941088961618565
JAC,18.369289340101524
PSG,18.23177842565598
ORH,17.726525821596244
WRG,16.22953216374269
BQN,15.868525896414342
EUG,15.101777059773829
BTV,14.37971641432348
MAZ,14.163636363636364
CDV,14.091420534458509
DLG,13.873983739837398
