,Feature,Importance,Model
0,DepDelay,0.24026577943747623,Decision Tree
1,Distance,0.1635562494977636,Decision Tree
2,ActualElapsedTime,0.16308568430733666,Decision Tree
3,DepTime,0.08701700779607648,Decision Tree
4,Origin,0.06949418655377079,Decision Tree
5,Dest,0.06470942120561564,Decision Tree
6,FlightNum,0.06444283044171369,Decision Tree
7,Month,0.058702826910688455,Decision Tree
8,UniqueCarrier,0.04399971305442259,Decision Tree
9,DayofMonth,0.02844746798916036,Decision Tree
10,DayOfWeek,0.01627883280597557,Decision Tree
11,Cancelled,0.0,Decision Tree
12,Diverted,0.0,Decision Tree
13,DepDelay,0.5778450965881348,XGBoost
14,Distance,0.11271144449710846,XGBoost
15,ActualElapsedTime,0.09516458213329315,XGBoost
16,Origin,0.04772180691361427,XGBoost
17,UniqueCarrier,0.039375025779008865,XGBoost
18,Dest,0.033894430845975876,XGBoost
19,DayOfWeek,0.03282761946320534,XGBoost
20,Month,0.02172204479575157,XGBoost
21,DepTime,0.0169100072234869,XGBoost
22,FlightNum,0.014469086192548275,XGBoost
23,DayofMonth,0.007358867675065994,XGBoost
24,Cancelled,0.0,XGBoost
25,Diverted,0.0,XGBoost
