Origin,DepDelay
ACY,106.0
DUT,19.3158953722334
PSG,17.185294117647057
BGR,15.910965043322378
HDN,14.94300518134715
JFK,13.942300701116594
DRO,13.93233082706767
JAC,13.748101265822784
WRG,13.300146412884335
JNU,12.862573099415204
OTZ,12.79484425349087
OME,12.239378238341969
