,UniqueCarrier,Origin,Dest,Month,DayofMonth,DayOfWeek,DepTime,FlightNum,ActualElapsedTime,DepDelay,Distance,TaxiIn,TaxiOut,Cancelled,Diverted,ArrDelay
1347173,0.15748470042381613,-0.8477763446060766,0.7389508664717177,-0.9733352725814487,-1.1002730005694663,-0.9759187374052375,-1.4310663912351556,-0.9212855523920641,-0.82080125827523,-0.3582645981458491,-0.8701470338904357,1.6116957006981634,-0.24092783538443988,0.0,0.0,-16.0
1291681,-0.39365181009544253,0.8492250187733777,-0.9425769100031189,-0.9733352725814487,-0.7604449165423247,0.5256267287875909,1.6291937031369679,-0.7098800429904468,-0.4247839028970569,-0.004082711618006144,-0.2316808911738581,-0.29229584779226175,-0.24092783538443988,0.0,0.0,-2.0
713631,0.7086212109430748,-0.25068327230589826,0.016051074716180457,-1.2690397804120543,-1.5533771126056548,0.5256267287875909,0.8128480855454875,0.3999988813680437,2.573633216394825,-0.25201003218749624,2.3152249206437703,-0.503850464291198,0.9535201122914226,0.0,0.0,1.0
1359572,-1.7714930863935892,-0.9263412225403107,-1.8069136175369136,-0.9733352725814487,-0.7604449165423247,0.5256267287875909,1.4717260205558702,-0.7783269087393311,0.1550986531924107,-0.25201003218749624,-0.28909065332548495,-0.08074123129332564,2.7451920338052163,0.0,0.0,16.0
4163852,0.15748470042381613,0.28355789764689293,-0.848285632817614,0.8008917744021853,0.8254194755843354,1.5266570395828098,-0.04286445269126738,-0.5851161358026071,-0.2692056561413461,-0.3582645981458491,-0.18470926759525427,0.7654772347024189,-0.3404651643574284,0.0,0.0,-10.0
3460343,-1.7714930863935892,1.0534937014023862,0.04748150044468208,0.20948275874097397,-0.9869969725604191,1.0261418841852004,1.4696540773640137,1.2317582626203083,-0.6793664884973111,7.079555018938853,-0.6004951207540065,-0.08074123129332564,-0.5395398223034055,0.0,0.0,196.0
2408776,-1.7714930863935892,-0.31353517465328545,0.04748150044468208,-0.38192625692023735,1.5050756436386183,-0.9759187374052375,-1.2549512199273487,0.140074074726711,1.0319942258155081,-0.3582645981458491,1.1391946414165046,-0.503850464291198,-0.6390771512763941,0.0,0.0,-15.0
2037252,1.2597577214623334,-1.4605823924931018,1.1318311880779879,-0.38192625692023735,0.5988674195662411,-1.4764338928028469,0.9620279953591591,-1.0555800358234193,1.7957419826162704,-0.004082711618006144,1.767222645560059,0.13081338520561048,-0.8381518092223711,0.0,0.0,5.0
4157984,1.2597577214623334,0.33069682440743337,-0.3139683954330866,0.8008917744021853,0.48559139155719394,0.025111573389981386,0.5828623912494105,0.792485339396456,0.25410299203695397,-0.2874282208402805,0.3511151791532631,-0.29229584779226175,-1.0372264671683482,0.0,0.0,-12.0
270277,-0.669220065355072,-1.6805640507089572,1.5875723611412615,-1.5647442882426599,1.7316276996567126,-0.47540358200762806,0.9433805066324501,-0.2775384479436968,-0.552075195697184,0.20842642029869962,-0.5726600845592782,0.13081338520561048,0.25675880948050284,0.0,0.0,0.0
1306395,-0.11808355483581322,1.1320585793366202,0.04748150044468208,-0.9733352725814487,-0.9869969725604191,-0.47540358200762806,0.43368248143573895,1.650237201312854,-1.1178142748088598,-0.3582645981458491,-1.08934794392392,-0.29229584779226175,-0.24092783538443988,0.0,0.0,-1.0
2345673,-0.11808355483581322,-1.1620358563430127,0.11034235190168531,-0.38192625692023735,-0.6471688885332776,0.025111573389981386,-0.6312963191785274,2.7280587328522463,-0.6369360575639353,-0.4999373527569863,-0.5517838074132321,-0.29229584779226175,-0.24092783538443988,0.0,0.0,-21.0
2905664,-1.7714930863935892,-1.130609905169319,-0.9268616971388681,-0.08622174908963169,0.9386955035933825,1.5266570395828098,-0.7121021036609329,-0.11638506782607057,0.31067689994812153,-0.4291009754514177,0.3493754893910926,1.6116957006981634,-0.5395398223034055,0.0,0.0,-13.0
4428553,-0.9447883206147012,-0.23497029671905148,-0.9582921228673698,0.8008917744021853,-0.6471688885332776,-1.4764338928028469,0.8045603127780613,0.21025377251987082,0.6642638243929189,-0.464519164104202,0.8225711047014717,-0.715405080790134,0.3562961384534914,0.0,0.0,-10.0
1229868,-0.669220065355072,-1.6805640507089572,0.7389508664717177,-0.9733352725814487,-0.9869969725604191,-0.47540358200762806,0.9537402225917329,-0.5088715258544829,0.11266822225903503,-0.3228464094930648,-0.22472213212517603,1.4001410841992272,1.2521320992103884,0.0,0.0,8.0
