,UniqueCarrier,ArrDelay
3,DL,6.724781938036508
9,UA,6.660934688047259
8,TW,5.003425393525524
11,WN,4.961743716269998
4,HP,4.934844257842352
5,ML (1),4.747609195734892
2,CO,4.544000266856007
1,AS,4.2978980702419625
10,US,3.9235089679486395
0,AA,3.870435516486455
6,NW,1.7284505992944321
7,PA (1),0.7218407780413845
