,Feature,Importance
8,ActualElapsedTime,0.19562389587640022
4,DayofMonth,0.1837278731649602
6,DepTime,0.16081305570226034
9,DepDelay,0.10770693746207977
5,DayOfWeek,0.09385448636652409
7,FlightNum,0.08519318035228013
10,Distance,0.043897236406981635
1,Origin,0.04110447144535354
2,Dest,0.0409801179839591
3,Month,0.036627608942836495
0,UniqueCarrier,0.010471136296364623
11,Cancelled,0.0
12,Diverted,0.0
